Id;Title;PosterPath;Popularity;VoteCount
"113";"Spring, Summer, Fall, Winter... and Spring";"https://image.tmdb.org/t/p/w500/6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg";"2,7332";"1109"
"114";"Pretty Woman";"https://image.tmdb.org/t/p/w500/hVHUfT801LQATGd26VPzhorIYza.jpg";"10,8738";"8569"
"115";"The Big Lebowski";"https://image.tmdb.org/t/p/w500/9mprbw31MGdd66LR0AQKoDMoFRv.jpg";"8,1497";"11581"
"117";"The Untouchables";"https://image.tmdb.org/t/p/w500/8BquGK22zCcsmBWiaIakaaPpSZb.jpg";"6,5787";"5862"
"118";"Charlie and the Chocolate Factory";"https://image.tmdb.org/t/p/w500/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg";"15,1253";"15533"
"120";"The Lord of the Rings: The Fellowship of the Ring";"https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg";"26,3303";"26155"
"121";"The Lord of the Rings: The Two Towers";"https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg";"20,5779";"22730"
"122";"The Lord of the Rings: The Return of the King";"https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg";"21,7824";"25255"
"123";"The Lord of the Rings";"https://image.tmdb.org/t/p/w500/liW0mjvTyLs7UCumaHhx3PpU4VT.jpg";"2,5925";"976"
"128";"Princess Mononoke";"https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg";"8,5712";"8438"
"129";"Spirited Away";"https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg";"16,3264";"17284"
"134";"O Brother, Where Art Thou?";"https://image.tmdb.org/t/p/w500/s9foMAcLg8GEzzQzer04qOGdD1k.jpg";"4,6078";"4309"
"136";"Freaks";"https://image.tmdb.org/t/p/w500/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg";"3,4182";"1228"
"137";"Groundhog Day";"https://image.tmdb.org/t/p/w500/gCgt1WARPZaXnq523ySQEUKinCs.jpg";"9,5425";"8339"
"141";"Donnie Darko";"https://image.tmdb.org/t/p/w500/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg";"8,6172";"12805"
"142";"Brokeback Mountain";"https://image.tmdb.org/t/p/w500/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg";"7,4804";"7209"
"143";"All Quiet on the Western Front";"https://image.tmdb.org/t/p/w500/1wZUB08igw8iLUgF1r4T6aJD65b.jpg";"2,505";"850"
"144";"Wings of Desire";"https://image.tmdb.org/t/p/w500/iZQs2vUeCzvS1KfZJ6uYNCGJBBV.jpg";"3,1235";"1390"
